MAC,SSID,Encryption,FirstSeen,Channel,RSSI,Latitude,Longitude,AltitudeMeters,AccuracyMeters,Type
18:E8:29:5A:1B:8C,Missoula Paddleheads - Private,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-85,46.874254,-114.009142,0,290,WIFI
1A:E8:29:5A:1B:8C,Logjam - private,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-85,46.874254,-114.009142,0,290,WIFI
2A:E8:29:5A:1B:8C,Missoula Paddleheads  - Guest,[ESS],2021-8-21 18:36:48,1,-85,46.874254,-114.009142,0,290,WIFI
AC:3B:77:23:42:68,MySpectrumWiFi62-2G,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,6,-87,46.874254,-114.009142,0,290,WIFI
8C:59:73:34:5B:3C,CenturyLink1236,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-94,46.874254,-114.009142,0,290,WIFI
18:E8:29:5A:1B:8C,Missoula Paddleheads - Private,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-82,46.874254,-114.009142,967.7,290,WIFI
1A:E8:29:5A:1B:8C,Logjam - private,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-83,46.874254,-114.009142,967.7,290,WIFI
2A:E8:29:5A:1B:8C,Missoula Paddleheads  - Guest,[ESS],2021-8-21 18:36:48,1,-83,46.874254,-114.009142,967.7,290,WIFI
2A:E8:29:14:23:36,Missoula Paddleheads  - Guest,[ESS],2021-8-21 18:36:48,1,-91,46.874254,-114.009142,967.7,290,WIFI
64:A5:C3:70:82:64,Black Death,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,6,-92,46.874254,-114.009142,967.7,290,WIFI
8C:59:73:34:5B:3C,CenturyLink1236,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-90,46.874254,-114.009142,967.7,290,WIFI
1A:E8:29:14:23:3A,Logjam - private,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-88,46.874254,-114.009142,967.7,290,WIFI
3E:94:ED:CE:5D:67,ORBIMTCONDO,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,9,-90,46.874254,-114.009142,967.7,290,WIFI
08:D5:9D:8F:8A:C6,MySpectrumWiFic0-2G,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-93,46.874254,-114.009142,967.7,290,WIFI
FE:EC:DA:97:BE:69,Poverello Center,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,11,-85,46.874254,-114.009142,967.7,290,WIFI
FC:EC:DA:97:BE:69,Pov Staff Only,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,11,-85,46.874254,-114.009142,967.7,290,WIFI
2A:E8:29:14:23:3A,Missoula Paddleheads  - Guest,[ESS],2021-8-21 18:36:48,1,-85,46.874254,-114.009142,967.7,290,WIFI
18:E8:29:14:23:3A,Missoula Paddleheads - Private,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-87,46.874254,-114.009142,967.7,290,WIFI
08:D5:9D:8F:8A:C6,MySpectrumWiFic0-2G,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-93,46.874254,-114.009142,967.7,290,WIFI
18:E8:29:5A:1B:8C,Missoula Paddleheads - Private,[WPA2-PSK-CCMP+TKIP][ESS],2021-8-21 18:36:48,1,-77,46.874254,-114.009142,967.7,290,WIFI
