MAC,SSID,Encryption,Seen,Channel,RSSI,Latitude,Longitude,AltitudeMeters,AccuracyMeters,Type
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:34:6,1,-69,33.684306,-117.619042,342.7,142,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:34:6,6,-75,33.684306,-117.619042,342.7,142,WIFI
AE:5F:3E:A6:46:51,Samsung Galaxy S7_5204,WPA2,2021-7-19 14:34:6,1,-91,33.684306,-117.619042,342.7,142,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:34:9,1,-69,33.684305,-117.619035,342.5,142,WIFI
AE:5F:3E:A6:46:51,Samsung Galaxy S7_5204,WPA2,2021-7-19 14:34:9,1,-93,33.684305,-117.619035,342.5,142,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:34:9,6,-83,33.684305,-117.619035,342.5,142,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:34:12,6,-84,33.684301,-117.619024,342.5,142,WIFI
AE:5F:3E:A6:46:51,Samsung Galaxy S7_5204,WPA2,2021-7-19 14:34:12,1,-93,33.684301,-117.619024,342.5,142,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:34:12,1,-82,33.684301,-117.619024,342.5,142,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:34:15,1,-70,33.6843,-117.619016,340.3,142,WIFI
AE:5F:3E:A6:46:51,Samsung Galaxy S7_5204,WPA2,2021-7-19 14:34:15,1,-93,33.6843,-117.619016,340.3,142,WIFI
8E:AA:B5:1C:31:3E,Bingus Headquarters,WPA2,2021-7-19 14:34:15,1,-70,33.6843,-117.619016,340.3,142,WIFI
4E:66:41:9A:81:4B,Hot Bitch Network,WPA2,2021-7-19 14:34:15,6,-88,33.6843,-117.619016,340.3,142,WIFI
